title,url,tmdb_id,user_rating,site_rating,added_label,checkin_date
El médico 2,https://www.palomitacas.com/pelicula/ficha/p1219548,1219548,10.0,10.0,03 de enero - 2026,2026-01-03
Terminagolf,https://www.palomitacas.com/pelicula/ficha/p9614,9614,6.0,6.0,30 de diciembre - 2025,2025-12-30
Roofman,https://www.palomitacas.com/pelicula/ficha/p1242419,1242419,6.5,6.5,14 de diciembre - 2025,2025-12-14
Golpes,https://www.palomitacas.com/pelicula/ficha/p1447457,1447457,6.5,6.5,06 de diciembre - 2025,2025-12-06
Núremberg,https://www.palomitacas.com/pelicula/ficha/p1214931,1214931,8.5,8.5,29 de noviembre - 2025,2025-11-29
The Running Man,https://www.palomitacas.com/pelicula/ficha/p798645,798645,8.0,8.0,23 de noviembre - 2025,2025-11-23
El mejor,https://www.palomitacas.com/pelicula/ficha/p986097,986097,3.0,3.0,15 de noviembre - 2025,2025-11-15
Predator: Badlands,https://www.palomitacas.com/pelicula/ficha/p1242898,1242898,8.5,8.5,10 de noviembre - 2025,2025-11-10
Predator: La presa,https://www.palomitacas.com/pelicula/ficha/p766507,766507,6.0,6.0,01 de noviembre - 2025,2025-11-01
Frankenstein,https://www.palomitacas.com/pelicula/ficha/p1062722,1062722,7.0,7.0,01 de noviembre - 2025,2025-11-01
Springsteen: Deliver Me from Nowhere,https://www.palomitacas.com/pelicula/ficha/p1230368,1230368,5.0,5.0,24 de octubre - 2025,2025-10-24
Bala perdida,https://www.palomitacas.com/pelicula/ficha/p1245993,1245993,8.0,8.0,20 de octubre - 2025,2025-10-20
The Smashing Machine,https://www.palomitacas.com/pelicula/ficha/p760329,760329,7.5,7.5,04 de octubre - 2025,2025-10-04
Una batalla tras otra,https://www.palomitacas.com/pelicula/ficha/p1054867,1054867,5.0,5.0,27 de septiembre - 2025,2025-09-27
El cautivo,https://www.palomitacas.com/pelicula/ficha/p1238188,1238188,7.0,7.0,15 de septiembre - 2025,2025-09-15
Nadie 2,https://www.palomitacas.com/pelicula/ficha/p1007734,1007734,8.5,8.5,23 de agosto - 2025,2025-08-23
Junto a los dioses: Los últimos 49 días,https://www.palomitacas.com/pelicula/ficha/p518068,518068,,,,
Along with the Gods: Los dos mundos,https://www.palomitacas.com/pelicula/ficha/p397567,397567,5.0,5.0,31 de julio - 2025,2025-07-31
Повелитель ветра,https://www.palomitacas.com/pelicula/ficha/p589756,589756,6.0,6.0,30 de julio - 2025,2025-07-30
Kayara. La guerrera del imperio Inca,https://www.palomitacas.com/pelicula/ficha/p666154,666154,5.0,5.0,11 de julio - 2025,2025-07-11
Larga Distancia,https://www.palomitacas.com/pelicula/ficha/p605722,605722,7.0,7.0,10 de julio - 2025,2025-07-10
Predator: Asesino de asesinos,https://www.palomitacas.com/pelicula/ficha/p1376434,1376434,7.0,7.0,30 de junio - 2025,2025-06-30
F1 la película,https://www.palomitacas.com/pelicula/ficha/p911430,911430,8.5,8.5,29 de junio - 2025,2025-06-29
Blindado,https://www.palomitacas.com/pelicula/ficha/p1083968,1083968,6.0,6.0,31 de mayo - 2025,2025-05-31
Los pecadores,https://www.palomitacas.com/pelicula/ficha/p1233413,1233413,8.5,8.5,17 de mayo - 2025,2025-05-17
El contable 2,https://www.palomitacas.com/pelicula/ficha/p870028,870028,8.5,8.5,23 de abril - 2025,2025-04-25
El contable,https://www.palomitacas.com/pelicula/ficha/p302946,302946,7.5,7.5,23 de abril - 2025,2025-04-24
Una película de Minecraft,https://www.palomitacas.com/pelicula/ficha/p950387,950387,5.0,5.0,06 de abril - 2025,2025-04-06
Blancanieves,https://www.palomitacas.com/pelicula/ficha/p447273,447273,5.5,5.5,29 de marzo - 2025,2025-03-29
Novocaine,https://www.palomitacas.com/pelicula/ficha/p1195506,1195506,7.0,7.0,29 de marzo - 2025,2025-03-29
The Chronicles of Narnia: The Silver Chair,https://www.palomitacas.com/pelicula/ficha/p903676,903676,5.0,5.0,24 de marzo - 2025,2025-03-26
The Chronicles of Narnia: Prince Caspian & The Voyage of the Dawn Treader,https://www.palomitacas.com/pelicula/ficha/p693737,693737,5.0,5.0,24 de marzo - 2025,2025-03-24
"The Chronicles of Narnia: The Lion, the Witch & the Wardrobe",https://www.palomitacas.com/pelicula/ficha/p925380,925380,5.0,5.0,24 de marzo - 2025,2025-03-24
Amenaza en el aire,https://www.palomitacas.com/pelicula/ficha/p1126166,1126166,6.0,6.0,15 de marzo - 2025,2025-03-15
The Witcher: Sirenas de las profundidades,https://www.palomitacas.com/pelicula/ficha/p1203329,1203329,8.5,8.5,08 de marzo - 2025,2025-03-08
The Legend of Ochi,https://www.palomitacas.com/pelicula/ficha/p896536,896536,,,,
Elio,https://www.palomitacas.com/pelicula/ficha/p1022787,1022787,8.5,8.5,07 de marzo - 2025,2025-06-23
Lilo y Stitch,https://www.palomitacas.com/pelicula/ficha/p552524,552524,6.5,6.5,07 de marzo - 2025,2025-07-09
Волшебник Изумрудного города. Злая ведьма,https://www.palomitacas.com/pelicula/ficha/p1273690,1273690,,,,
El Maravilloso Mago de Oz,https://www.palomitacas.com/pelicula/ficha/p658224,658224,6.5,6.5,03 de marzo - 2025,2025-03-03
A Complete Unknown,https://www.palomitacas.com/pelicula/ficha/p661539,661539,8.5,8.5,02 de marzo - 2025,2025-03-02
Los tipos malos 2,https://www.palomitacas.com/pelicula/ficha/p1175942,1175942,6.5,6.5,25 de febrero - 2025,2025-09-02
Warfare,https://www.palomitacas.com/pelicula/ficha/p1241436,1241436,,,,
Greater,https://www.palomitacas.com/pelicula/ficha/p379441,379441,9.0,9.0,25 de febrero - 2025,2025-02-27
Superman,https://www.palomitacas.com/pelicula/ficha/p1061474,1061474,6.5,6.5,25 de febrero - 2025,2025-07-13
Thunderbolts*,https://www.palomitacas.com/pelicula/ficha/p986056,986056,7.5,7.5,25 de febrero - 2025,2025-05-04
Amateur,https://www.palomitacas.com/pelicula/ficha/p1087891,1087891,7.5,7.5,25 de febrero - 2025,2025-04-13
Karate Kid: Legends,https://www.palomitacas.com/pelicula/ficha/p1011477,1011477,7.0,7.0,25 de febrero - 2025,2025-12-16
Ballerina,https://www.palomitacas.com/pelicula/ficha/p541671,541671,6.5,6.5,25 de febrero - 2025,2025-06-08
Mickey 17,https://www.palomitacas.com/pelicula/ficha/p696506,696506,8.5,8.5,25 de febrero - 2025,2025-03-08
Cómo entrenar a tu dragón,https://www.palomitacas.com/pelicula/ficha/p1087192,1087192,9.0,9.0,25 de febrero - 2025,2025-06-15
Jurassic World: El renacer,https://www.palomitacas.com/pelicula/ficha/p1234821,1234821,7.5,7.5,25 de febrero - 2025,2025-07-05
Levels,https://www.palomitacas.com/pelicula/ficha/p791042,791042,,,,
28 años después Parte 3,https://www.palomitacas.com/pelicula/ficha/p1273002,1273002,,,,
28 años después,https://www.palomitacas.com/pelicula/ficha/p1100988,1100988,8.0,8.0,25 de febrero - 2025,2025-06-21
28 años después Parte 2: El Templo de Hueso,https://www.palomitacas.com/pelicula/ficha/p1272837,1272837,,,,
Tierras perdidas,https://www.palomitacas.com/pelicula/ficha/p324544,324544,5.0,5.0,25 de febrero - 2025,2025-05-15
El abismo secreto,https://www.palomitacas.com/pelicula/ficha/p950396,950396,,,,
封神第二部：战火西岐,https://www.palomitacas.com/pelicula/ficha/p1155281,1155281,,,,
La creación de los dioses: El reino de las tormentas,https://www.palomitacas.com/pelicula/ficha/p856289,856289,,,,
Estado eléctrico,https://www.palomitacas.com/pelicula/ficha/p777443,777443,6.5,6.5,25 de febrero - 2025,2025-12-27
El 47,https://www.palomitacas.com/pelicula/ficha/p1174481,1174481,8.5,8.5,21 de febrero - 2025,2025-02-21
Constantine 2,https://www.palomitacas.com/pelicula/ficha/p570678,570678,,,,
The Mandalorian & Grogu,https://www.palomitacas.com/pelicula/ficha/p1228710,1228710,,,,
Los Juegos del Hambre: Amanecer en la Cosecha,https://www.palomitacas.com/pelicula/ficha/p1300968,1300968,,,,
Vaiana,https://www.palomitacas.com/pelicula/ficha/p1108427,1108427,,,,
Supergirl: Woman of Tomorrow,https://www.palomitacas.com/pelicula/ficha/p1081003,1081003,,,,
Frozen III,https://www.palomitacas.com/pelicula/ficha/p1024604,1024604,,,,
The Dish,https://www.palomitacas.com/pelicula/ficha/p1275779,1275779,,,,
Toy Story 5,https://www.palomitacas.com/pelicula/ficha/p1084244,1084244,,,,
Untitled Super Mario Bros. Movie,https://www.palomitacas.com/pelicula/ficha/p1226863,1226863,,,,
Masters of the Universe,https://www.palomitacas.com/pelicula/ficha/p454639,454639,,,,
Vengadores: Doomsday,https://www.palomitacas.com/pelicula/ficha/p1003596,1003596,,,,
Project Hail Mary,https://www.palomitacas.com/pelicula/ficha/p687163,687163,,,,
La leyenda de Aang: El último Airbender,https://www.palomitacas.com/pelicula/ficha/p980431,980431,,,,
The Odyssey,https://www.palomitacas.com/pelicula/ficha/p1368337,1368337,,,,
Capitán América: Brave New World,https://www.palomitacas.com/pelicula/ficha/p822119,822119,8.0,8.0,15 de febrero - 2025,2025-02-15
Cónclave,https://www.palomitacas.com/pelicula/ficha/p974576,974576,7.5,7.5,11 de febrero - 2025,2025-02-11
Mikaela,https://www.palomitacas.com/pelicula/ficha/p1315988,1315988,5.5,5.5,07 de febrero - 2025,2025-02-07
"Flow, un mundo que salvar",https://www.palomitacas.com/pelicula/ficha/p823219,823219,8.0,8.0,01 de febrero - 2025,2025-02-01
La serpiente verde,https://www.palomitacas.com/pelicula/ficha/p795607,795607,7.0,7.0,29 de enero - 2025,2025-01-29
White Snake: Afloat,https://www.palomitacas.com/pelicula/ficha/p1207123,1207123,,,,
La serpiente blanca,https://www.palomitacas.com/pelicula/ficha/p573699,573699,7.0,7.0,29 de enero - 2025,2025-01-29
The Brutalist,https://www.palomitacas.com/pelicula/ficha/p549509,549509,5.5,5.5,25 de enero - 2025,2025-01-25
A millones de kilómetros,https://www.palomitacas.com/pelicula/ficha/p1002185,1002185,7.0,7.0,14 de enero - 2025,2025-01-14
Nimona,https://www.palomitacas.com/pelicula/ficha/p961323,961323,6.5,6.5,13 de enero - 2025,2025-01-13
Lee Miller,https://www.palomitacas.com/pelicula/ficha/p832964,832964,6.5,6.5,12 de enero - 2025,2025-01-12
Watchmen: Capítulo 2,https://www.palomitacas.com/pelicula/ficha/p1299652,1299652,6.0,6.0,06 de enero - 2025,2025-01-07
Watchmen: Capítulo 1,https://www.palomitacas.com/pelicula/ficha/p1155058,1155058,6.0,6.0,06 de enero - 2025,2025-01-06
