title,url,tmdb_id,user_rating,site_rating,added_label,checkin_date
The Running Man,https://www.palomitacas.com/pelicula/ficha/p798645,798645,,,,
Sisu: Camino a la venganza,https://www.palomitacas.com/pelicula/ficha/p1223601,1223601,,,,
Golpes,https://www.palomitacas.com/pelicula/ficha/p1447457,1447457,,,,
Núremberg,https://www.palomitacas.com/pelicula/ficha/p1214931,1214931,6.5,6.5,22 de diciembre - 2025,2025-12-22
Una batalla tras otra,https://www.palomitacas.com/pelicula/ficha/p1054867,1054867,,,,
Avatar: Fuego y ceniza,https://www.palomitacas.com/pelicula/ficha/p83533,83533,5.0,5.0,22 de diciembre - 2025,2025-12-22
Puñales por la espalda: De entre los muertos,https://www.palomitacas.com/pelicula/ficha/p812583,812583,6.0,6.0,13 de diciembre - 2025,2025-12-13
Frankenstein,https://www.palomitacas.com/pelicula/ficha/p1062722,1062722,7.0,7.0,10 de noviembre - 2025,2025-11-11
Predator: Badlands,https://www.palomitacas.com/pelicula/ficha/p1242898,1242898,,,,
La deuda,https://www.palomitacas.com/pelicula/ficha/p1440144,1440144,6.5,6.5,10 de noviembre - 2025,2025-11-10
Los domingos,https://www.palomitacas.com/pelicula/ficha/p1443576,1443576,7.0,7.0,10 de noviembre - 2025,2025-11-10
Chaos Walking,https://www.palomitacas.com/pelicula/ficha/p412656,412656,5.5,5.5,01 de noviembre - 2025,2025-11-01
Blancanieves,https://www.palomitacas.com/pelicula/ficha/p447273,447273,3.0,3.0,18 de septiembre - 2025,2025-09-18
El cautivo,https://www.palomitacas.com/pelicula/ficha/p1238188,1238188,6.5,6.5,12 de septiembre - 2025,2025-09-12
Los Rose,https://www.palomitacas.com/pelicula/ficha/p1267905,1267905,6.0,6.0,04 de septiembre - 2025,2025-09-04
El Club del Crimen de los Jueves,https://www.palomitacas.com/pelicula/ficha/p744653,744653,5.5,5.5,01 de septiembre - 2025,2025-09-01
Enemigos,https://www.palomitacas.com/pelicula/ficha/p1285406,1285406,6.0,6.0,01 de septiembre - 2025,2025-09-01
Rescate,https://www.palomitacas.com/pelicula/ficha/p3595,3595,5.5,5.5,23 de agosto - 2025,2025-08-23
Sin cobertura,https://www.palomitacas.com/pelicula/ficha/p1370124,1370124,3.0,3.0,23 de agosto - 2025,2025-08-23
"Thi Mai, rumbo a Vietnam",https://www.palomitacas.com/pelicula/ficha/p437294,437294,5.0,5.0,22 de agosto - 2025,2025-08-22
Nadie 2,https://www.palomitacas.com/pelicula/ficha/p1007734,1007734,,,,
El cliente,https://www.palomitacas.com/pelicula/ficha/p10731,10731,6.0,6.0,20 de agosto - 2025,2025-08-20
Amor,https://www.palomitacas.com/pelicula/ficha/p86837,86837,,,,
Rojo y negro,https://www.palomitacas.com/pelicula/ficha/p183237,183237,,,,
Un entrenador genial,https://www.palomitacas.com/pelicula/ficha/p9981,9981,4.0,4.0,11 de agosto - 2025,2025-08-11
Moonfall,https://www.palomitacas.com/pelicula/ficha/p406759,406759,5.0,5.0,10 de agosto - 2025,2025-08-10
Jack Ryan: Operación sombra,https://www.palomitacas.com/pelicula/ficha/p137094,137094,4.5,4.5,10 de agosto - 2025,2025-08-10
Día de patriotas,https://www.palomitacas.com/pelicula/ficha/p388399,388399,5.5,5.5,09 de agosto - 2025,2025-08-09
Attraction 2: El fin de los tiempos,https://www.palomitacas.com/pelicula/ficha/p514207,514207,4.0,4.0,08 de agosto - 2025,2025-08-08
El inconveniente,https://www.palomitacas.com/pelicula/ficha/p677574,677574,6.0,6.0,08 de agosto - 2025,2025-08-08
Mi nombre es Khan,https://www.palomitacas.com/pelicula/ficha/p26022,26022,,,,
Giro al infierno,https://www.palomitacas.com/pelicula/ficha/p10155,10155,,,,
Pasión obsesiva,https://www.palomitacas.com/pelicula/ficha/p10543,10543,,,,
Malicia,https://www.palomitacas.com/pelicula/ficha/p2246,2246,,,,
Agárralo como puedas,https://www.palomitacas.com/pelicula/ficha/p1035259,1035259,,,,
Mujer blanca soltera busca...,https://www.palomitacas.com/pelicula/ficha/p9605,9605,,,,
Un lío de millones,https://www.palomitacas.com/pelicula/ficha/p1296500,1296500,4.0,4.0,07 de agosto - 2025,2025-08-07
A Taxi Driver: Los héroes de Gwangju,https://www.palomitacas.com/pelicula/ficha/p437068,437068,,,,
La mano que mece la cuna,https://www.palomitacas.com/pelicula/ficha/p11087,11087,,,,
Un rey en Nueva York,https://www.palomitacas.com/pelicula/ficha/p28973,28973,,,,
Señales del futuro,https://www.palomitacas.com/pelicula/ficha/p13811,13811,,,,
Tratamos demasiado bien a las mujeres,https://www.palomitacas.com/pelicula/ficha/p1209285,1209285,,,,
Fallen Leaves,https://www.palomitacas.com/pelicula/ficha/p986280,986280,,,,
Suro,https://www.palomitacas.com/pelicula/ficha/p835268,835268,,,,
¿Es el enemigo? La película de Gila,https://www.palomitacas.com/pelicula/ficha/p1275209,1275209,,,,
Votemos,https://www.palomitacas.com/pelicula/ficha/p1380651,1380651,,,,
Misión: Imposible - Sentencia final,https://www.palomitacas.com/pelicula/ficha/p575265,575265,7.0,7.0,05 de agosto - 2025,2025-08-05
La huella del mal,https://www.palomitacas.com/pelicula/ficha/p1310871,1310871,2.5,2.5,03 de agosto - 2025,2025-08-03
Testigo mudo,https://www.palomitacas.com/pelicula/ficha/p48787,48787,6.0,6.0,30 de julio - 2025,2025-07-30
Cómo entrenar a tu dragón,https://www.palomitacas.com/pelicula/ficha/p1087192,1087192,,,,
Con los brazos abiertos,https://www.palomitacas.com/pelicula/ficha/p430365,430365,2.0,2.0,29 de julio - 2025,2025-07-29
Happy Gilmore 2,https://www.palomitacas.com/pelicula/ficha/p1263256,1263256,4.0,4.0,26 de julio - 2025,2025-07-26
Jefes de Estado,https://www.palomitacas.com/pelicula/ficha/p749170,749170,3.0,3.0,20 de julio - 2025,2025-07-20
Los Cuatro Fantásticos: Primeros pasos,https://www.palomitacas.com/pelicula/ficha/p617126,617126,6.0,6.0,20 de julio - 2025,2025-08-11
Jurassic World: El renacer,https://www.palomitacas.com/pelicula/ficha/p1234821,1234821,,,,
Bailarina,https://www.palomitacas.com/pelicula/ficha/p541671,541671,6.0,6.0,20 de julio - 2025,2025-09-06
Superman,https://www.palomitacas.com/pelicula/ficha/p1061474,1061474,6.0,6.0,20 de julio - 2025,2025-07-26
