title,url,tmdb_id,user_rating,site_rating,added_label,checkin_date
Jurado Nº 2,https://www.palomitacas.com/pelicula/ficha/p1106739,1106739,7.0,7.0,02 de noviembre - 2024,2024-11-02
Misión: Imposible - Sentencia mortal parte uno,https://www.palomitacas.com/pelicula/ficha/p575264,575264,8.0,8.0,02 de noviembre - 2024,2024-11-02
Voces,https://www.palomitacas.com/pelicula/ficha/p726208,726208,6.0,6.0,02 de noviembre - 2024,2024-11-02
Superdetective en Hollywood: Axel F.,https://www.palomitacas.com/pelicula/ficha/p280180,280180,6.0,6.0,23 de agosto - 2024,2024-08-23
How to Have Sex,https://www.palomitacas.com/pelicula/ficha/p1075175,1075175,7.0,7.0,23 de agosto - 2024,2024-08-23
Romper el círculo,https://www.palomitacas.com/pelicula/ficha/p1079091,1079091,6.0,6.0,23 de agosto - 2024,2024-08-23
Nacido campeón,https://www.palomitacas.com/pelicula/ficha/p766931,766931,7.0,7.0,23 de agosto - 2024,2024-08-23
Agente Stone,https://www.palomitacas.com/pelicula/ficha/p724209,724209,7.0,7.0,23 de agosto - 2024,2024-08-23
Friends: El Reencuentro,https://www.palomitacas.com/pelicula/ficha/p691179,691179,10.0,10.0,23 de agosto - 2024,2024-08-23
Código Emperador,https://www.palomitacas.com/pelicula/ficha/p769636,769636,5.0,5.0,23 de agosto - 2024,2024-08-23
Tyler Rake 2,https://www.palomitacas.com/pelicula/ficha/p697843,697843,7.0,7.0,23 de agosto - 2024,2024-08-23
Fly Me to the Moon,https://www.palomitacas.com/pelicula/ficha/p956842,956842,9.0,9.0,23 de agosto - 2024,2024-08-23
La zona de interés,https://www.palomitacas.com/pelicula/ficha/p467244,467244,2.0,2.0,23 de agosto - 2024,2024-08-23
Padre no hay más que uno 4: Campanas de boda,https://www.palomitacas.com/pelicula/ficha/p1030076,1030076,6.0,6.0,23 de agosto - 2024,2024-08-23
La idea de tenerte,https://www.palomitacas.com/pelicula/ficha/p843527,843527,5.0,5.0,23 de agosto - 2024,2024-08-23
Twisters,https://www.palomitacas.com/pelicula/ficha/p718821,718821,7.0,7.0,23 de agosto - 2024,2024-08-23
Buscando a Coque,https://www.palomitacas.com/pelicula/ficha/p1196366,1196366,6.0,6.0,23 de agosto - 2024,2024-08-23
Padre no hay mas que uno 3,https://www.palomitacas.com/pelicula/ficha/p975120,975120,5.0,5.0,23 de agosto - 2024,2024-08-23
Rebel Moon (Parte dos): La guerrera que deja marcas,https://www.palomitacas.com/pelicula/ficha/p934632,934632,6.0,6.0,23 de agosto - 2024,2024-08-23
El maestro que prometió el mar,https://www.palomitacas.com/pelicula/ficha/p1024541,1024541,7.0,7.0,23 de agosto - 2024,2024-08-23
Un lugar tranquilo: Día uno,https://www.palomitacas.com/pelicula/ficha/p762441,762441,7.0,7.0,03 de julio - 2024,2024-07-03
El triángulo de la tristeza,https://www.palomitacas.com/pelicula/ficha/p497828,497828,4.0,4.0,03 de julio - 2024,2024-07-03
Rebel Moon (Parte uno): La niña del fuego,https://www.palomitacas.com/pelicula/ficha/p848326,848326,7.0,7.0,03 de julio - 2024,2024-07-03
Del revés 2 (Inside Out 2),https://www.palomitacas.com/pelicula/ficha/p1022789,1022789,7.0,7.0,03 de julio - 2024,2024-07-03
Godzilla Minus One,https://www.palomitacas.com/pelicula/ficha/p940721,940721,8.0,8.0,03 de julio - 2024,2024-07-03
Menudas piezas,https://www.palomitacas.com/pelicula/ficha/p1175075,1175075,8.0,8.0,10 de junio - 2024,2024-06-10
En las profundidades del Sena,https://www.palomitacas.com/pelicula/ficha/p1001311,1001311,4.0,4.0,10 de junio - 2024,2024-06-10
El correo,https://www.palomitacas.com/pelicula/ficha/p1148713,1148713,6.0,6.0,10 de junio - 2024,2024-06-10
Fallen Leaves,https://www.palomitacas.com/pelicula/ficha/p986280,986280,4.0,4.0,10 de junio - 2024,2024-06-10
El increíble Hulk,https://www.palomitacas.com/pelicula/ficha/p1724,1724,6.0,6.0,10 de junio - 2024,2024-06-10
El cazador,https://www.palomitacas.com/pelicula/ficha/p11778,11778,6.0,6.0,10 de junio - 2024,2024-06-10
Hit Man. Asesino por casualidad,https://www.palomitacas.com/pelicula/ficha/p974635,974635,5.0,5.0,08 de junio - 2024,2024-06-08
Vacaciones de verano,https://www.palomitacas.com/pelicula/ficha/p1061634,1061634,3.0,3.0,20 de mayo - 2024,2024-05-20
Fenómenas,https://www.palomitacas.com/pelicula/ficha/p1073413,1073413,4.0,4.0,20 de mayo - 2024,2024-05-20
Maravilloso desastre,https://www.palomitacas.com/pelicula/ficha/p1016121,1016121,6.0,6.0,20 de mayo - 2024,2024-05-20
Beekeeper: El protector,https://www.palomitacas.com/pelicula/ficha/p866398,866398,6.0,6.0,15 de mayo - 2024,2024-05-15
Pobres criaturas,https://www.palomitacas.com/pelicula/ficha/p792307,792307,9.0,9.0,12 de mayo - 2024,2024-05-12
Todo a la vez en todas partes,https://www.palomitacas.com/pelicula/ficha/p545611,545611,7.0,7.0,12 de mayo - 2024,2024-05-12
El favor,https://www.palomitacas.com/pelicula/ficha/p1089979,1089979,5.0,5.0,12 de mayo - 2024,2024-05-12
Pared con pared,https://www.palomitacas.com/pelicula/ficha/p1005681,1005681,4.0,4.0,12 de mayo - 2024,2024-05-12
Noche de miedo,https://www.palomitacas.com/pelicula/ficha/p11797,11797,6.0,6.0,01 de mayo - 2024,2024-05-01
Anatomía de una caída,https://www.palomitacas.com/pelicula/ficha/p915935,915935,7.0,7.0,01 de mayo - 2024,2024-05-01
Ocho apellidos marroquís,https://www.palomitacas.com/pelicula/ficha/p1074049,1074049,4.0,4.0,01 de mayo - 2024,2024-05-01
Los mercen4rios,https://www.palomitacas.com/pelicula/ficha/p299054,299054,6.0,6.0,18 de abril - 2024,2024-04-18
Jinetes de la justicia,https://www.palomitacas.com/pelicula/ficha/p663870,663870,7.0,7.0,15 de abril - 2024,2024-04-15
Culpa mía,https://www.palomitacas.com/pelicula/ficha/p1010581,1010581,6.0,6.0,15 de abril - 2024,2024-04-15
Road House (De profesión: duro),https://www.palomitacas.com/pelicula/ficha/p359410,359410,6.0,6.0,15 de abril - 2024,2024-04-15
Revenge (Venganza),https://www.palomitacas.com/pelicula/ficha/p14249,14249,5.0,5.0,12 de abril - 2024,2024-04-12
El juego bonito,https://www.palomitacas.com/pelicula/ficha/p857655,857655,3.0,3.0,09 de abril - 2024,2024-04-09
Ninja Turtles: Caos mutante,https://www.palomitacas.com/pelicula/ficha/p614930,614930,7.0,7.0,02 de abril - 2024,2024-04-02
Yucatán,https://www.palomitacas.com/pelicula/ficha/p517324,517324,2.0,2.0,02 de abril - 2024,2024-04-02
Sly,https://www.palomitacas.com/pelicula/ficha/p1146302,1146302,7.0,7.0,30 de marzo - 2024,2024-03-30
Lobo Feroz,https://www.palomitacas.com/pelicula/ficha/p800085,800085,6.0,6.0,30 de marzo - 2024,2024-03-30
Akelarre,https://www.palomitacas.com/pelicula/ficha/p655187,655187,5.0,5.0,30 de marzo - 2024,2024-03-30
Vampiros de John Carpenter,https://www.palomitacas.com/pelicula/ficha/p9945,9945,7.0,7.0,28 de marzo - 2024,2024-03-28
De perdidos a Río,https://www.palomitacas.com/pelicula/ficha/p932308,932308,3.0,3.0,28 de marzo - 2024,2024-03-28
Un amor,https://www.palomitacas.com/pelicula/ficha/p1087571,1087571,7.0,7.0,27 de marzo - 2024,2024-03-27
Golpe de Suerte,https://www.palomitacas.com/pelicula/ficha/p859235,859235,6.0,6.0,25 de marzo - 2024,2024-03-25
Alimañas,https://www.palomitacas.com/pelicula/ficha/p816707,816707,6.0,6.0,25 de marzo - 2024,2024-03-25
Avatar: El sentido del agua,https://www.palomitacas.com/pelicula/ficha/p76600,76600,8.0,8.0,20 de marzo - 2024,2024-03-20
Hasta que la boda nos separe,https://www.palomitacas.com/pelicula/ficha/p623926,623926,7.0,7.0,19 de marzo - 2024,2024-03-19
Bajo terapia,https://www.palomitacas.com/pelicula/ficha/p1008003,1008003,8.0,8.0,04 de marzo - 2024,2024-03-04
Upgrade: Primera clase,https://www.palomitacas.com/pelicula/ficha/p1014590,1014590,6.0,6.0,04 de marzo - 2024,2024-03-04
Grupo salvaje,https://www.palomitacas.com/pelicula/ficha/p576,576,6.0,6.0,27 de febrero - 2024,2024-02-27
Chicas malas,https://www.palomitacas.com/pelicula/ficha/p10625,10625,6.0,6.0,26 de febrero - 2024,2024-02-26
