title,url,tmdb_id,user_rating,site_rating,added_label,checkin_date
Ad astra,https://www.palomitacas.com/pelicula/ficha/p419704,419704,5.0,5.0,27 de septiembre - 2020,2020-09-27
Invencible (Unbroken),https://www.palomitacas.com/pelicula/ficha/p227306,227306,6.0,6.0,20 de septiembre - 2020,2020-09-20
"Keylor Navas, Hombre de Fe",https://www.palomitacas.com/pelicula/ficha/p494801,494801,7.0,7.0,10 de septiembre - 2020,2020-09-10
Sucker Punch,https://www.palomitacas.com/pelicula/ficha/p23629,23629,5.0,5.0,05 de septiembre - 2020,2020-09-05
El silencio del pantano,https://www.palomitacas.com/pelicula/ficha/p632931,632931,6.0,6.0,03 de septiembre - 2020,2020-09-03
Mechanic: Resurrection,https://www.palomitacas.com/pelicula/ficha/p278924,278924,6.0,6.0,03 de septiembre - 2020,2020-09-03
90 minutos en el cielo,https://www.palomitacas.com/pelicula/ficha/p343795,343795,2.0,2.0,31 de agosto - 2020,2020-08-31
El vicio del poder,https://www.palomitacas.com/pelicula/ficha/p429197,429197,5.0,5.0,24 de agosto - 2020,2020-08-24
Ofrenda a la tormenta,https://www.palomitacas.com/pelicula/ficha/p673174,673174,6.0,6.0,22 de agosto - 2020,2020-08-22
Point Break,https://www.palomitacas.com/pelicula/ficha/p257088,257088,6.0,6.0,18 de agosto - 2020,2020-08-18
Legado en los huesos,https://www.palomitacas.com/pelicula/ficha/p613099,613099,6.0,6.0,14 de agosto - 2020,2020-08-14
El guardián invisible,https://www.palomitacas.com/pelicula/ficha/p392207,392207,6.0,6.0,14 de agosto - 2020,2020-08-14
La leyenda del samurái: 47 Ronin,https://www.palomitacas.com/pelicula/ficha/p64686,64686,6.5,6.5,01 de agosto - 2020,2020-08-01
Star Trek: Más allá,https://www.palomitacas.com/pelicula/ficha/p188927,188927,6.0,6.0,29 de julio - 2020,2020-07-29
Triple 9,https://www.palomitacas.com/pelicula/ficha/p146198,146198,5.0,5.0,22 de julio - 2020,2020-07-22
El hoyo,https://www.palomitacas.com/pelicula/ficha/p619264,619264,5.0,5.0,22 de julio - 2020,2020-07-22
Harry Potter y las Reliquias de la Muerte - Parte 2,https://www.palomitacas.com/pelicula/ficha/p12445,12445,6.0,6.0,17 de julio - 2020,2020-07-17
Harry Potter y las Reliquias de la Muerte - Parte 1,https://www.palomitacas.com/pelicula/ficha/p12444,12444,6.0,6.0,17 de julio - 2020,2020-07-17
Harry Potter y el misterio del príncipe,https://www.palomitacas.com/pelicula/ficha/p767,767,6.0,6.0,16 de julio - 2020,2020-07-16
Harry Potter y la Orden del Fénix,https://www.palomitacas.com/pelicula/ficha/p675,675,7.0,7.0,15 de julio - 2020,2020-07-15
Harry Potter y el cáliz de fuego,https://www.palomitacas.com/pelicula/ficha/p674,674,5.5,5.5,15 de julio - 2020,2020-07-15
