title,url,tmdb_id,user_rating,site_rating,added_label,checkin_date
La asistenta,https://www.palomitacas.com/pelicula/ficha/p1368166,1368166,6.5,6.5,03 de enero - 2026,2026-01-03
Wicked Parte II,https://www.palomitacas.com/pelicula/ficha/p967941,967941,6.0,6.0,03 de enero - 2026,2026-01-03
Jurado Nº 2,https://www.palomitacas.com/pelicula/ficha/p1106739,1106739,7.0,7.0,28 de diciembre - 2025,2025-12-28
Zootrópolis 2,https://www.palomitacas.com/pelicula/ficha/p1084242,1084242,7.5,7.5,07 de diciembre - 2025,2025-12-07
Ahora me ves 3,https://www.palomitacas.com/pelicula/ficha/p425274,425274,5.5,5.5,04 de diciembre - 2025,2025-12-04
Frankenstein,https://www.palomitacas.com/pelicula/ficha/p1062722,1062722,8.0,8.0,04 de diciembre - 2025,2025-12-04
La novia cadáver,https://www.palomitacas.com/pelicula/ficha/p3933,3933,7.0,7.0,14 de noviembre - 2025,2025-11-14
La mujer del camarote 10,https://www.palomitacas.com/pelicula/ficha/p1290879,1290879,6.0,6.0,29 de octubre - 2025,2025-10-29
Expediente Warren: Obligado por el demonio,https://www.palomitacas.com/pelicula/ficha/p423108,423108,6.0,6.0,29 de octubre - 2025,2025-10-29
Un hombre lobo americano en Londres,https://www.palomitacas.com/pelicula/ficha/p814,814,6.5,6.5,19 de octubre - 2025,2025-10-19
Black Phone 2,https://www.palomitacas.com/pelicula/ficha/p1197137,1197137,6.0,6.0,19 de octubre - 2025,2025-10-19
Y ella dijo quizás,https://www.palomitacas.com/pelicula/ficha/p1509871,1509871,5.0,5.0,13 de octubre - 2025,2025-10-13
Los desenredos del amor,https://www.palomitacas.com/pelicula/ficha/p1355666,1355666,7.0,7.0,13 de octubre - 2025,2025-10-13
Weapons,https://www.palomitacas.com/pelicula/ficha/p1078605,1078605,6.5,6.5,13 de octubre - 2025,2025-10-13
Las guerreras k-pop,https://www.palomitacas.com/pelicula/ficha/p803796,803796,7.0,7.0,13 de octubre - 2025,2025-10-13
El club del crimen de los jueves,https://www.palomitacas.com/pelicula/ficha/p744653,744653,5.5,5.5,20 de septiembre - 2025,2025-09-20
Romería,https://www.palomitacas.com/pelicula/ficha/p1182861,1182861,6.0,6.0,20 de septiembre - 2025,2025-09-20
Expediente Warren: El último rito,https://www.palomitacas.com/pelicula/ficha/p1038392,1038392,6.5,6.5,20 de septiembre - 2025,2025-09-20
La conductora,https://www.palomitacas.com/pelicula/ficha/p1151334,1151334,5.0,5.0,26 de agosto - 2025,2025-08-26
Leer Lolita en Teheran,https://www.palomitacas.com/pelicula/ficha/p1096846,1096846,6.0,6.0,20 de agosto - 2025,2025-08-20
Muy lejos,https://www.palomitacas.com/pelicula/ficha/p1409925,1409925,6.5,6.5,20 de agosto - 2025,2025-08-20
Mi año en Oxford,https://www.palomitacas.com/pelicula/ficha/p1307078,1307078,6.0,6.0,20 de agosto - 2025,2025-08-20
Sé lo que hicisteis el último verano,https://www.palomitacas.com/pelicula/ficha/p1083433,1083433,4.0,4.0,20 de agosto - 2025,2025-08-20
