title,url,tmdb_id,user_rating,site_rating,added_label,checkin_date
Cómo entrenar a tu dragón,https://www.palomitacas.com/pelicula/ficha/p1087192,1087192,8.0,8.0,04 de enero - 2026,2026-01-04
Un robo muy navideño,https://www.palomitacas.com/pelicula/ficha/p1218762,1218762,6.0,6.0,02 de enero - 2026,2026-01-02
Navidad en Baltimore,https://www.palomitacas.com/pelicula/ficha/p1421990,1421990,6.0,6.0,01 de enero - 2026,2026-01-01
El barco del amor,https://www.palomitacas.com/pelicula/ficha/p1119550,1119550,5.0,5.0,29 de diciembre - 2025,2025-12-29
"Hasta luego, Leo",https://www.palomitacas.com/pelicula/ficha/p1603935,1603935,6.0,6.0,28 de diciembre - 2025,2025-12-28
Una película de Minecraft,https://www.palomitacas.com/pelicula/ficha/p950387,950387,7.0,7.0,28 de diciembre - 2025,2025-12-28
Corto navideño de Disney: Las mejores Navidades,https://www.palomitacas.com/pelicula/ficha/p1578602,1578602,6.0,6.0,27 de diciembre - 2025,2025-12-27
Los Elfkins,https://www.palomitacas.com/pelicula/ficha/p638220,638220,6.0,6.0,27 de diciembre - 2025,2025-12-27
Asesinos de élite,https://www.palomitacas.com/pelicula/ficha/p49021,49021,6.0,6.0,27 de diciembre - 2025,2025-12-27
المحط,https://www.palomitacas.com/pelicula/ficha/p835049,835049,5.0,5.0,27 de diciembre - 2025,2025-12-27
"Moon, mi amigo panda",https://www.palomitacas.com/pelicula/ficha/p1178532,1178532,6.0,6.0,27 de diciembre - 2025,2025-12-27
La Navidad en sus manos 2,https://www.palomitacas.com/pelicula/ficha/p1196207,1196207,6.0,6.0,27 de diciembre - 2025,2025-12-27
Spermageddon,https://www.palomitacas.com/pelicula/ficha/p1064307,1064307,4.0,4.0,21 de diciembre - 2025,2025-12-21
Los Rose,https://www.palomitacas.com/pelicula/ficha/p1267905,1267905,6.0,6.0,16 de diciembre - 2025,2025-12-16
Oh. What. Fun.,https://www.palomitacas.com/pelicula/ficha/p1261825,1261825,6.0,6.0,16 de diciembre - 2025,2025-12-16
Vivir el momento,https://www.palomitacas.com/pelicula/ficha/p1100099,1100099,7.0,7.0,11 de diciembre - 2025,2025-12-11
Diary of a Wimpy Kid: The Last Straw,https://www.palomitacas.com/pelicula/ficha/p1392796,1392796,6.0,6.0,06 de diciembre - 2025,2025-12-06
The Storm,https://www.palomitacas.com/pelicula/ficha/p1026821,1026821,7.0,7.0,04 de diciembre - 2025,2025-12-04
An Ostrich Told Me the World Is Fake and I Think I Believe It,https://www.palomitacas.com/pelicula/ficha/p943776,943776,6.0,6.0,04 de diciembre - 2025,2025-12-04
Ella,https://www.palomitacas.com/pelicula/ficha/p1230689,1230689,5.0,5.0,04 de diciembre - 2025,2025-12-04
