title,url,tmdb_id,user_rating,site_rating,added_label,checkin_date
Serendipity,https://www.palomitacas.com/pelicula/ficha/p9778,9778,6.0,6.0,02 de enero - 2026,2021-12-16
El patriota,https://www.palomitacas.com/pelicula/ficha/p2024,2024,5.0,5.0,30 de diciembre - 2025,2025-12-30
Prometheus,https://www.palomitacas.com/pelicula/ficha/p70981,70981,2.0,2.0,26 de diciembre - 2025,2025-12-26
Ballerina,https://www.palomitacas.com/pelicula/ficha/p342473,342473,6.0,6.0,09 de diciembre - 2025,2025-12-09
Aún Estoy Aquí,https://www.palomitacas.com/pelicula/ficha/p1000837,1000837,7.5,7.5,02 de diciembre - 2025,2025-11-28
Tadeo Jones 3: La Tabla Esmeralda,https://www.palomitacas.com/pelicula/ficha/p676701,676701,6.0,6.0,24 de noviembre - 2025,2025-11-24
Wicked,https://www.palomitacas.com/pelicula/ficha/p402431,402431,6.5,6.5,23 de noviembre - 2025,2025-11-23
Bugonia,https://www.palomitacas.com/pelicula/ficha/p701387,701387,5.5,5.5,20 de noviembre - 2025,2025-11-20
Que nadie duerma,https://www.palomitacas.com/pelicula/ficha/p828936,828936,3.0,3.0,18 de noviembre - 2025,2025-11-18
Tadeo Jones 2: El secreto del rey Midas,https://www.palomitacas.com/pelicula/ficha/p452773,452773,9.0,9.0,17 de noviembre - 2025,2025-11-17
Las aventuras de Tadeo Jones,https://www.palomitacas.com/pelicula/ficha/p121734,121734,6.5,6.5,06 de noviembre - 2025,2025-11-06
Caza de brujas,https://www.palomitacas.com/pelicula/ficha/p1265063,1265063,7.0,7.0,04 de noviembre - 2025,2025-11-05
Los domingos,https://www.palomitacas.com/pelicula/ficha/p1443576,1443576,8.0,8.0,26 de octubre - 2025,2025-10-26
Sorda,https://www.palomitacas.com/pelicula/ficha/p1303613,1303613,8.0,8.0,20 de octubre - 2025,2025-10-20
Downton Abbey: Una nueva era,https://www.palomitacas.com/pelicula/ficha/p820446,820446,7.0,7.0,16 de octubre - 2025,2025-10-16
Chicas malas,https://www.palomitacas.com/pelicula/ficha/p10625,10625,7.0,7.0,13 de octubre - 2025,2025-10-13
Bitelchús,https://www.palomitacas.com/pelicula/ficha/p4011,4011,6.0,6.0,30 de septiembre - 2025,2025-09-30
El día que vendrá,https://www.palomitacas.com/pelicula/ficha/p433502,433502,7.0,7.0,29 de septiembre - 2025,2025-09-29
Sirāt,https://www.palomitacas.com/pelicula/ficha/p1151272,1151272,3.0,3.0,21 de septiembre - 2025,2025-09-21
El cautivo,https://www.palomitacas.com/pelicula/ficha/p1238188,1238188,6.0,6.0,17 de septiembre - 2025,2025-09-18
Un mar de enredos,https://www.palomitacas.com/pelicula/ficha/p454619,454619,6.0,6.0,15 de septiembre - 2025,2025-09-15
Argylle,https://www.palomitacas.com/pelicula/ficha/p848538,848538,6.5,6.5,11 de septiembre - 2025,2025-09-11
Una película de Minecraft,https://www.palomitacas.com/pelicula/ficha/p950387,950387,5.0,5.0,03 de septiembre - 2025,2025-09-03
María Callas,https://www.palomitacas.com/pelicula/ficha/p1038263,1038263,7.0,7.0,25 de agosto - 2025,2025-08-25
La patria perdida,https://www.palomitacas.com/pelicula/ficha/p999147,999147,6.0,6.0,08 de agosto - 2025,2025-08-08
Robot salvaje,https://www.palomitacas.com/pelicula/ficha/p1184918,1184918,9.0,9.0,07 de agosto - 2025,2025-08-07
Leer Lolita en Teheran,https://www.palomitacas.com/pelicula/ficha/p1096846,1096846,7.0,7.0,30 de julio - 2025,2025-07-30
Mañana empieza todo,https://www.palomitacas.com/pelicula/ficha/p382591,382591,7.0,7.0,23 de junio - 2025,2025-06-23
Ice Age: El gran cataclismo,https://www.palomitacas.com/pelicula/ficha/p278154,278154,8.0,8.0,05 de junio - 2025,2025-06-05
Criadas y señoras,https://www.palomitacas.com/pelicula/ficha/p50014,50014,9.0,9.0,01 de junio - 2025,2025-06-01
El hombre bueno,https://www.palomitacas.com/pelicula/ficha/p1244818,1244818,3.0,3.0,30 de mayo - 2025,2025-05-30
