title,url,tmdb_id,user_rating,site_rating,added_label,checkin_date
Thunderbolts*,https://www.palomitacas.com/pelicula/ficha/p986056,986056,7.5,7.5,14 de septiembre - 2025,2025-09-14
Los Cuatro Fantásticos: Primeros pasos,https://www.palomitacas.com/pelicula/ficha/p617126,617126,8.0,8.0,14 de septiembre - 2025,2025-09-14
Superman,https://www.palomitacas.com/pelicula/ficha/p1061474,1061474,7.5,7.5,12 de septiembre - 2025,2025-09-12
Mamma Mia! Here We Go Yet Again,https://www.palomitacas.com/pelicula/ficha/p588732,588732,3.0,3.0,12 de septiembre - 2025,2025-09-12
Mamma mia! Una y otra vez,https://www.palomitacas.com/pelicula/ficha/p458423,458423,5.5,5.5,12 de septiembre - 2025,2025-09-12
Mamma Mia! La película,https://www.palomitacas.com/pelicula/ficha/p11631,11631,6.5,6.5,11 de septiembre - 2025,2025-09-11
Karate Kid: Legends,https://www.palomitacas.com/pelicula/ficha/p1011477,1011477,6.0,6.0,10 de septiembre - 2025,2025-09-10
Capitán América: Brave New World,https://www.palomitacas.com/pelicula/ficha/p822119,822119,5.0,5.0,01 de septiembre - 2025,2025-09-01
Nosferatu,https://www.palomitacas.com/pelicula/ficha/p426063,426063,9.5,9.5,01 de septiembre - 2025,2025-09-01
Red One,https://www.palomitacas.com/pelicula/ficha/p845781,845781,6.5,6.5,01 de septiembre - 2025,2025-09-01
Del revés 2 (Inside Out 2),https://www.palomitacas.com/pelicula/ficha/p1022789,1022789,8.0,8.0,14 de agosto - 2025,2025-08-14
Pobres criaturas,https://www.palomitacas.com/pelicula/ficha/p792307,792307,9.5,9.5,13 de agosto - 2025,2025-08-13
Ejército de los ladrones,https://www.palomitacas.com/pelicula/ficha/p796499,796499,6.5,6.5,09 de agosto - 2025,2025-08-09
Wish: El poder de los deseos,https://www.palomitacas.com/pelicula/ficha/p1022796,1022796,6.0,6.0,09 de agosto - 2025,2025-08-09
Puñales por la espalda: El misterio de Glass Onion,https://www.palomitacas.com/pelicula/ficha/p661374,661374,7.0,7.0,08 de agosto - 2025,2025-08-08
The Marvels,https://www.palomitacas.com/pelicula/ficha/p609681,609681,6.0,6.0,08 de agosto - 2025,2025-08-08
Misterio en Venecia,https://www.palomitacas.com/pelicula/ficha/p945729,945729,6.5,6.5,06 de agosto - 2025,2025-08-06
Dune: Parte Tres,https://www.palomitacas.com/pelicula/ficha/p1170608,1170608,,,,
Deadpool y Lobezno,https://www.palomitacas.com/pelicula/ficha/p533535,533535,9.0,9.0,05 de agosto - 2025,2025-08-05
Мамма миа,https://www.palomitacas.com/pelicula/ficha/p1402539,1402539,,,,
La invitación,https://www.palomitacas.com/pelicula/ficha/p830788,830788,3.5,3.5,31 de julio - 2025,2025-07-31
Zom 100: Cien cosas que quiero hacer antes de convertirme en zombi,https://www.palomitacas.com/pelicula/ficha/p1070514,1070514,6.0,6.0,31 de julio - 2025,2025-07-31
Atrápame si puedes,https://www.palomitacas.com/pelicula/ficha/p640,640,8.5,8.5,31 de julio - 2025,2025-07-31
Operación U.N.C.L.E.,https://www.palomitacas.com/pelicula/ficha/p203801,203801,7.0,7.0,31 de julio - 2025,2025-07-31
El peor equipo del mundo (Next Goal Wins),https://www.palomitacas.com/pelicula/ficha/p621587,621587,8.0,8.0,31 de julio - 2025,2025-07-31
Jexi,https://www.palomitacas.com/pelicula/ficha/p620725,620725,6.0,6.0,31 de julio - 2025,2025-07-31
Tu mejor amigo,https://www.palomitacas.com/pelicula/ficha/p381289,381289,6.5,6.5,31 de julio - 2025,2025-07-31
Memorias de África,https://www.palomitacas.com/pelicula/ficha/p606,606,8.0,8.0,29 de julio - 2025,2025-07-29
Sin edulcorar,https://www.palomitacas.com/pelicula/ficha/p844185,844185,7.0,7.0,29 de julio - 2025,2025-07-29
¡Canta!: Thriller,https://www.palomitacas.com/pelicula/ficha/p1371727,1371727,5.0,5.0,29 de julio - 2025,2025-07-29
The Voices,https://www.palomitacas.com/pelicula/ficha/p244458,244458,8.5,8.5,28 de julio - 2025,2025-07-28
La tienda,https://www.palomitacas.com/pelicula/ficha/p10657,10657,7.0,7.0,27 de junio - 2025,2025-06-27
La proposición,https://www.palomitacas.com/pelicula/ficha/p18240,18240,6.5,6.5,24 de junio - 2025,2025-06-24
La calle del terror - Parte 1: 1994,https://www.palomitacas.com/pelicula/ficha/p591273,591273,,,,
Subspecies,https://www.palomitacas.com/pelicula/ficha/p24789,24789,,,,
El último viaje del Demeter,https://www.palomitacas.com/pelicula/ficha/p635910,635910,,,,
BLUE FIGHT 蒼き若者たちのブレイキングダウン,https://www.palomitacas.com/pelicula/ficha/p1363103,1363103,,,,
