title,url,tmdb_id,user_rating,site_rating,added_label,checkin_date
La muerte del unicornio,https://www.palomitacas.com/pelicula/ficha/p1153714,1153714,5.5,5.5,04 de enero - 2026,2026-01-04
La mujer de las sombras,https://www.palomitacas.com/pelicula/ficha/p1244944,1244944,4.5,4.5,04 de enero - 2026,2026-01-04
Relay,https://www.palomitacas.com/pelicula/ficha/p1088166,1088166,7.0,7.0,03 de enero - 2026,2026-01-03
The Cursed,https://www.palomitacas.com/pelicula/ficha/p630392,630392,6.0,6.0,02 de enero - 2026,2026-01-02
Cómo entrenar a tu dragón,https://www.palomitacas.com/pelicula/ficha/p1087192,1087192,7.5,7.5,02 de enero - 2026,2026-01-02
Una batalla tras otra,https://www.palomitacas.com/pelicula/ficha/p1054867,1054867,6.5,6.5,01 de enero - 2026,2026-01-01
Krull,https://www.palomitacas.com/pelicula/ficha/p849,849,6.0,6.0,31 de diciembre - 2025,2025-12-31
Ojos de fuego,https://www.palomitacas.com/pelicula/ficha/p532710,532710,6.0,6.0,31 de diciembre - 2025,2025-12-31
La lista negra,https://www.palomitacas.com/pelicula/ficha/p10651,10651,7.0,7.0,30 de diciembre - 2025,2025-12-30
Más dura será la caída,https://www.palomitacas.com/pelicula/ficha/p618162,618162,6.0,6.0,27 de diciembre - 2025,2025-12-27
Misión: Imposible - Sentencia final,https://www.palomitacas.com/pelicula/ficha/p575265,575265,6.5,6.5,26 de diciembre - 2025,2025-12-26
Impacto súbito,https://www.palomitacas.com/pelicula/ficha/p10650,10650,7.0,7.0,26 de diciembre - 2025,2025-12-26
Beekeeper: El protector,https://www.palomitacas.com/pelicula/ficha/p866398,866398,6.5,6.5,23 de diciembre - 2025,2025-12-23
Una Navidad diferente,https://www.palomitacas.com/pelicula/ficha/p1430593,1430593,6.0,6.0,23 de diciembre - 2025,2025-12-23
La sociedad americana de negros mágicos,https://www.palomitacas.com/pelicula/ficha/p1039773,1039773,4.0,4.0,22 de diciembre - 2025,2025-12-22
Sweet Dreams,https://www.palomitacas.com/pelicula/ficha/p1062421,1062421,5.0,5.0,22 de diciembre - 2025,2025-12-22
La última obra,https://www.palomitacas.com/pelicula/ficha/p1202479,1202479,4.5,4.5,22 de diciembre - 2025,2025-12-22
La trama fenicia,https://www.palomitacas.com/pelicula/ficha/p1137350,1137350,2.0,2.0,22 de diciembre - 2025,2025-12-22
Navidad en Baltimore,https://www.palomitacas.com/pelicula/ficha/p1421990,1421990,4.0,4.0,22 de diciembre - 2025,2025-12-22
F1 la película,https://www.palomitacas.com/pelicula/ficha/p911430,911430,8.0,8.0,21 de diciembre - 2025,2025-12-21
La casa al final de la curva,https://www.palomitacas.com/pelicula/ficha/p1244890,1244890,5.5,5.5,20 de diciembre - 2025,2025-12-20
대홍수,https://www.palomitacas.com/pelicula/ficha/p982843,982843,5.0,5.0,20 de diciembre - 2025,2025-12-20
Puñales por la espalda: De entre los muertos,https://www.palomitacas.com/pelicula/ficha/p812583,812583,6.5,6.5,19 de diciembre - 2025,2025-12-19
Trol 2,https://www.palomitacas.com/pelicula/ficha/p1180831,1180831,5.0,5.0,14 de diciembre - 2025,2025-12-14
Fuera de las sombras,https://www.palomitacas.com/pelicula/ficha/p1151949,1151949,6.0,6.0,13 de diciembre - 2025,2025-12-13
American Pie presenta: Las chicas mandan,https://www.palomitacas.com/pelicula/ficha/p660982,660982,3.0,3.0,13 de diciembre - 2025,2025-12-13
Hilo mortal,https://www.palomitacas.com/pelicula/ficha/p12629,12629,6.0,6.0,13 de diciembre - 2025,2025-12-13
Fight or Flight (Sicarios en el aire),https://www.palomitacas.com/pelicula/ficha/p1212855,1212855,7.0,7.0,13 de diciembre - 2025,2025-12-13
Crónicas de guerra,https://www.palomitacas.com/pelicula/ficha/p975615,975615,6.5,6.5,11 de diciembre - 2025,2025-12-11
Sigue volando,https://www.palomitacas.com/pelicula/ficha/p1175932,1175932,3.0,3.0,09 de diciembre - 2025,2025-12-09
¡Canta!: Thriller,https://www.palomitacas.com/pelicula/ficha/p1371727,1371727,6.0,6.0,09 de diciembre - 2025,2025-12-09
¡Canta! 2,https://www.palomitacas.com/pelicula/ficha/p438695,438695,6.0,6.0,09 de diciembre - 2025,2025-12-09
Problemista,https://www.palomitacas.com/pelicula/ficha/p852247,852247,5.0,5.0,08 de diciembre - 2025,2025-12-08
Mickey 17,https://www.palomitacas.com/pelicula/ficha/p696506,696506,6.0,6.0,07 de diciembre - 2025,2025-12-07
Horizonte Final,https://www.palomitacas.com/pelicula/ficha/p8413,8413,6.0,6.0,07 de diciembre - 2025,2025-12-07
Adivina quién muere esta noche,https://www.palomitacas.com/pelicula/ficha/p1229262,1229262,3.0,3.0,06 de diciembre - 2025,2025-12-06
La caza del Octubre Rojo,https://www.palomitacas.com/pelicula/ficha/p1669,1669,6.0,6.0,06 de diciembre - 2025,2025-12-06
