title,url,tmdb_id,user_rating,site_rating,added_label,checkin_date
Viaje de fin de curso: Mallorca,https://www.palomitacas.com/pelicula/ficha/p1245165,1245165,10.0,10.0,31 de diciembre - 2025,2025-12-31
Uno para todos,https://www.palomitacas.com/pelicula/ficha/p651391,651391,10.0,10.0,30 de diciembre - 2025,2025-12-30
Sin cobertura,https://www.palomitacas.com/pelicula/ficha/p1370124,1370124,10.0,10.0,29 de diciembre - 2025,2025-12-29
Juegos de niños,https://www.palomitacas.com/pelicula/ficha/p1248226,1248226,10.0,10.0,24 de diciembre - 2025,2025-12-24
La bella y la bestia,https://www.palomitacas.com/pelicula/ficha/p197796,197796,10.0,10.0,21 de diciembre - 2025,2025-12-21
Dímelo bajito,https://www.palomitacas.com/pelicula/ficha/p1379963,1379963,10.0,10.0,20 de diciembre - 2025,2025-12-20
Sevillanas de Brooklyn,https://www.palomitacas.com/pelicula/ficha/p793158,793158,10.0,10.0,11 de diciembre - 2025,2025-12-11
Los 2 lados de la cama,https://www.palomitacas.com/pelicula/ficha/p89764,89764,10.0,10.0,13 de noviembre - 2025,2025-12-17
El otro lado de la cama,https://www.palomitacas.com/pelicula/ficha/p2722,2722,10.0,10.0,13 de noviembre - 2025,2025-11-14
Todos los lados de la cama,https://www.palomitacas.com/pelicula/ficha/p1309272,1309272,,,,
La Noche Del Terror,https://www.palomitacas.com/pelicula/ficha/p1574882,1574882,,,,
The OctoGames,https://www.palomitacas.com/pelicula/ficha/p1028703,1028703,10.0,10.0,08 de noviembre - 2025,2025-11-08
5 metros cuadrados,https://www.palomitacas.com/pelicula/ficha/p79749,79749,10.0,10.0,07 de noviembre - 2025,2025-11-07
ma ma,https://www.palomitacas.com/pelicula/ficha/p280840,280840,10.0,10.0,28 de septiembre - 2025,2025-09-28
Cuñados,https://www.palomitacas.com/pelicula/ficha/p793155,793155,10.0,10.0,07 de septiembre - 2025,2025-09-07
Número desconocido: Falsa identidad en el instituto,https://www.palomitacas.com/pelicula/ficha/p1517772,1517772,,,,
Miamor perdido,https://www.palomitacas.com/pelicula/ficha/p510088,510088,10.0,10.0,03 de septiembre - 2025,2025-09-03
No culpes al karma de lo que te pasa por gilipollas,https://www.palomitacas.com/pelicula/ficha/p403499,403499,10.0,10.0,01 de septiembre - 2025,2025-09-01
Las consecuencias,https://www.palomitacas.com/pelicula/ficha/p833043,833043,10.0,10.0,31 de agosto - 2025,2025-08-31
Las niñas,https://www.palomitacas.com/pelicula/ficha/p619443,619443,10.0,10.0,29 de agosto - 2025,2025-08-29
Chavalas,https://www.palomitacas.com/pelicula/ficha/p793153,793153,10.0,10.0,27 de agosto - 2025,2025-08-27
Que se mueran los feos,https://www.palomitacas.com/pelicula/ficha/p45332,45332,10.0,10.0,23 de agosto - 2025,2025-08-23
Acantilado,https://www.palomitacas.com/pelicula/ficha/p393158,393158,10.0,10.0,21 de agosto - 2025,2025-08-21
Las ovejas no pierden el tren,https://www.palomitacas.com/pelicula/ficha/p300596,300596,10.0,10.0,21 de agosto - 2025,2025-08-21
Incidencias,https://www.palomitacas.com/pelicula/ficha/p347669,347669,10.0,10.0,18 de agosto - 2025,2025-08-18
Requisitos para ser una persona normal,https://www.palomitacas.com/pelicula/ficha/p331354,331354,10.0,10.0,03 de agosto - 2025,2025-08-03
No controles,https://www.palomitacas.com/pelicula/ficha/p61905,61905,10.0,10.0,02 de agosto - 2025,2025-08-02
Ahora o nunca,https://www.palomitacas.com/pelicula/ficha/p300601,300601,10.0,10.0,28 de julio - 2025,2025-07-28
¿Quién es quién?,https://www.palomitacas.com/pelicula/ficha/p1187294,1187294,10.0,10.0,28 de julio - 2025,2025-07-28
Devuélvemela,https://www.palomitacas.com/pelicula/ficha/p1151031,1151031,,,,
Lo contrario al amor,https://www.palomitacas.com/pelicula/ficha/p81779,81779,10.0,10.0,25 de julio - 2025,2025-07-25
Tres bodas de más,https://www.palomitacas.com/pelicula/ficha/p201765,201765,10.0,10.0,20 de julio - 2025,2025-07-20
Secuestro olvidado,https://www.palomitacas.com/pelicula/ficha/p689782,689782,10.0,10.0,19 de julio - 2025,2025-07-19
Asesinato en la Universidad,https://www.palomitacas.com/pelicula/ficha/p558295,558295,10.0,10.0,06 de julio - 2025,2025-07-06
20.000 especies de abejas,https://www.palomitacas.com/pelicula/ficha/p1053600,1053600,10.0,10.0,05 de julio - 2025,2025-07-05
Padres,https://www.palomitacas.com/pelicula/ficha/p1436706,1436706,10.0,10.0,01 de julio - 2025,2025-07-01
Los indeseados,https://www.palomitacas.com/pelicula/ficha/p1053836,1053836,10.0,10.0,30 de junio - 2025,2025-06-30
El hijo,https://www.palomitacas.com/pelicula/ficha/p600881,600881,,,,
Sin miedo a las estrellas,https://www.palomitacas.com/pelicula/ficha/p1024426,1024426,,,,
Laura 30 World Tour - The Conert,https://www.palomitacas.com/pelicula/ficha/p1498502,1498502,10.0,10.0,20 de junio - 2025,2025-06-20
