title,url,tmdb_id,user_rating,site_rating,added_label,checkin_date
Avatar,https://www.palomitacas.com/pelicula/ficha/p19995,19995,,,,
El tiempo contigo,https://www.palomitacas.com/pelicula/ficha/p568160,568160,,,,
Núremberg,https://www.palomitacas.com/pelicula/ficha/p1214931,1214931,,,,
La Navidad en sus manos,https://www.palomitacas.com/pelicula/ficha/p1100763,1100763,,,,
Doctor Zhivago,https://www.palomitacas.com/pelicula/ficha/p907,907,,,,
Fargo,https://www.palomitacas.com/pelicula/ficha/p275,275,,,,
El brillo de la televisión,https://www.palomitacas.com/pelicula/ficha/p858017,858017,,,,
Teorema zero,https://www.palomitacas.com/pelicula/ficha/p157834,157834,,,,
Acaba con los vecinos,https://www.palomitacas.com/pelicula/ficha/p974558,974558,,,,
Sidonie en Japón,https://www.palomitacas.com/pelicula/ficha/p1004555,1004555,,,,
Ahora o nunca,https://www.palomitacas.com/pelicula/ficha/p300601,300601,,,,
Miamor perdido,https://www.palomitacas.com/pelicula/ficha/p510088,510088,,,,
American Graffiti,https://www.palomitacas.com/pelicula/ficha/p838,838,,,,
Demons 2,https://www.palomitacas.com/pelicula/ficha/p40342,40342,,,,
Demons,https://www.palomitacas.com/pelicula/ficha/p14029,14029,,,,
Ghoulies II,https://www.palomitacas.com/pelicula/ficha/p28605,28605,,,,
Drácula,https://www.palomitacas.com/pelicula/ficha/p1246049,1246049,7.0,7.0,23 de noviembre - 2025,2025-11-23
Voy a pasármelo mejor,https://www.palomitacas.com/pelicula/ficha/p1358831,1358831,6.0,6.0,09 de noviembre - 2025,2025-11-09
Predator: Badlands,https://www.palomitacas.com/pelicula/ficha/p1242898,1242898,6.5,6.5,09 de noviembre - 2025,2025-11-11
Mordiscos peligrosos,https://www.palomitacas.com/pelicula/ficha/p19064,19064,5.5,5.5,01 de noviembre - 2025,2025-11-01
Ghoulies,https://www.palomitacas.com/pelicula/ficha/p18498,18498,5.0,5.0,26 de octubre - 2025,2025-11-02
Cuando Harry encontró a Sally,https://www.palomitacas.com/pelicula/ficha/p639,639,7.0,7.0,19 de octubre - 2025,2025-10-19
Vivir el momento,https://www.palomitacas.com/pelicula/ficha/p1100099,1100099,7.0,7.0,13 de octubre - 2025,2025-11-03
Daniela Forever,https://www.palomitacas.com/pelicula/ficha/p1084440,1084440,6.5,6.5,03 de octubre - 2025,2025-11-04
Una quinta portuguesa,https://www.palomitacas.com/pelicula/ficha/p1440171,1440171,7.0,7.0,28 de septiembre - 2025,2025-11-05
"Star Crash, choque de galaxias",https://www.palomitacas.com/pelicula/ficha/p22049,22049,3.0,3.0,28 de septiembre - 2025,2025-09-28
Top Gun: Maverick,https://www.palomitacas.com/pelicula/ficha/p361743,361743,,,,
Kraven the Hunter,https://www.palomitacas.com/pelicula/ficha/p539972,539972,,,,
Brazil,https://www.palomitacas.com/pelicula/ficha/p68,68,,,,
Somos la noche,https://www.palomitacas.com/pelicula/ficha/p52587,52587,,,,
Tres mil años esperándote,https://www.palomitacas.com/pelicula/ficha/p556694,556694,,,,
El favor,https://www.palomitacas.com/pelicula/ficha/p1089979,1089979,,,,
50 primeras citas,https://www.palomitacas.com/pelicula/ficha/p1824,1824,,,,
Stockholm,https://www.palomitacas.com/pelicula/ficha/p185738,185738,,,,
Cosas que nunca te dije,https://www.palomitacas.com/pelicula/ficha/p110909,110909,,,,
El regreso de Ulises,https://www.palomitacas.com/pelicula/ficha/p975511,975511,7.0,7.0,24 de agosto - 2025,2025-08-24
Superman,https://www.palomitacas.com/pelicula/ficha/p1061474,1061474,7.0,7.0,27 de julio - 2025,2025-10-07
Apocalypse Now,https://www.palomitacas.com/pelicula/ficha/p28,28,,,,
Mandíbulas,https://www.palomitacas.com/pelicula/ficha/p638965,638965,,,,
Los ilusos,https://www.palomitacas.com/pelicula/ficha/p178601,178601,,,,
