title,url,tmdb_id,user_rating,site_rating,added_label,checkin_date
"Isaac Asimov, mensaje al futuro",https://www.palomitacas.com/pelicula/ficha/p1030152,1030152,8.0,8.0,26 de noviembre - 2025,2025-11-26
Juego sucio,https://www.palomitacas.com/pelicula/ficha/p941109,941109,8.0,8.0,26 de noviembre - 2025,2025-11-26
Presence,https://www.palomitacas.com/pelicula/ficha/p1140535,1140535,5.0,5.0,18 de noviembre - 2025,2025-11-18
Weapons,https://www.palomitacas.com/pelicula/ficha/p1078605,1078605,6.5,6.5,12 de noviembre - 2025,2025-11-12
28 años después: El templo de los huesos,https://www.palomitacas.com/pelicula/ficha/p1272837,1272837,,,,
28 años después Parte 3,https://www.palomitacas.com/pelicula/ficha/p1273002,1273002,,,,
28 años después,https://www.palomitacas.com/pelicula/ficha/p1100988,1100988,,,,
Expediente Warren: El caso Enfield,https://www.palomitacas.com/pelicula/ficha/p259693,259693,7.0,7.0,25 de octubre - 2025,2025-10-25
Expediente Warren: Obligado por el demonio,https://www.palomitacas.com/pelicula/ficha/p423108,423108,7.5,7.5,25 de octubre - 2025,2025-10-25
Expediente Warren: El último rito,https://www.palomitacas.com/pelicula/ficha/p1038392,1038392,,,,
Annabelle: Vuelve a casa,https://www.palomitacas.com/pelicula/ficha/p521029,521029,7.0,7.0,25 de octubre - 2025,2025-10-25
Scary Movie,https://www.palomitacas.com/pelicula/ficha/p1273221,1273221,,,,
It: Capítulo 2,https://www.palomitacas.com/pelicula/ficha/p474350,474350,7.0,7.0,09 de octubre - 2025,2025-10-09
Los Cuatro Fantásticos: Primeros pasos,https://www.palomitacas.com/pelicula/ficha/p617126,617126,6.5,6.5,23 de septiembre - 2025,2025-09-23
Ballerina,https://www.palomitacas.com/pelicula/ficha/p541671,541671,8.0,8.0,05 de septiembre - 2025,2025-09-05
Destino final: Lazos de sangre,https://www.palomitacas.com/pelicula/ficha/p574475,574475,7.0,7.0,09 de agosto - 2025,2025-08-09
Lilo y Stitch,https://www.palomitacas.com/pelicula/ficha/p552524,552524,7.0,7.0,02 de agosto - 2025,2025-08-02
Un funeral de locos,https://www.palomitacas.com/pelicula/ficha/p1358013,1358013,8.0,8.0,27 de julio - 2025,2025-07-27
Ad astra,https://www.palomitacas.com/pelicula/ficha/p419704,419704,6.5,6.5,19 de julio - 2025,2025-07-19
Amateur,https://www.palomitacas.com/pelicula/ficha/p1087891,1087891,6.5,6.5,18 de julio - 2025,2025-07-18
Predator: Asesino de asesinos,https://www.palomitacas.com/pelicula/ficha/p1376434,1376434,8.0,8.0,16 de julio - 2025,2025-07-16
Perseguido,https://www.palomitacas.com/pelicula/ficha/p865,865,6.5,6.5,05 de julio - 2025,2025-07-05
The Witcher: Sirenas de las profundidades,https://www.palomitacas.com/pelicula/ficha/p1203329,1203329,7.0,7.0,02 de julio - 2025,2025-07-02
Una película de Minecraft,https://www.palomitacas.com/pelicula/ficha/p950387,950387,6.0,6.0,30 de junio - 2025,2025-06-30
Predator: La presa,https://www.palomitacas.com/pelicula/ficha/p766507,766507,7.0,7.0,27 de junio - 2025,2025-06-27
Amenaza en el espacio (Anti-Life: La brecha),https://www.palomitacas.com/pelicula/ficha/p651571,651571,3.0,3.0,25 de junio - 2025,2025-06-25
Robot salvaje,https://www.palomitacas.com/pelicula/ficha/p1184918,1184918,9.0,9.0,25 de junio - 2025,2025-06-25
Dos chicas a la fuga,https://www.palomitacas.com/pelicula/ficha/p957304,957304,7.0,7.0,23 de junio - 2025,2025-06-23
Lo que le falta a esta estrella,https://www.palomitacas.com/pelicula/ficha/p1165642,1165642,8.0,8.0,17 de junio - 2025,2025-06-17
Gladiator II,https://www.palomitacas.com/pelicula/ficha/p558449,558449,7.5,7.5,09 de junio - 2025,2025-06-09
Amigos imaginarios,https://www.palomitacas.com/pelicula/ficha/p639720,639720,8.0,8.0,03 de junio - 2025,2025-06-03
Mountainhead,https://www.palomitacas.com/pelicula/ficha/p1417059,1417059,6.5,6.5,02 de junio - 2025,2025-06-02
Viaje de fin de curso: Mallorca,https://www.palomitacas.com/pelicula/ficha/p1245165,1245165,7.0,7.0,30 de mayo - 2025,2025-05-30
ISRA 88,https://www.palomitacas.com/pelicula/ficha/p401222,401222,4.5,4.5,28 de mayo - 2025,2025-05-28
Un lugar tranquilo: Día uno,https://www.palomitacas.com/pelicula/ficha/p762441,762441,6.5,6.5,28 de mayo - 2025,2025-05-28
El especialista,https://www.palomitacas.com/pelicula/ficha/p746036,746036,8.0,8.0,26 de mayo - 2025,2025-05-26
La bestia oculta,https://www.palomitacas.com/pelicula/ficha/p1300962,1300962,4.0,4.0,23 de mayo - 2025,2025-05-23
A Working Man,https://www.palomitacas.com/pelicula/ficha/p1197306,1197306,7.0,7.0,19 de mayo - 2025,2025-05-19
La acompañante,https://www.palomitacas.com/pelicula/ficha/p1084199,1084199,7.5,7.5,19 de mayo - 2025,2025-05-19
Capitán América: Brave New World,https://www.palomitacas.com/pelicula/ficha/p822119,822119,5.0,5.0,14 de mayo - 2025,2025-05-14
3022,https://www.palomitacas.com/pelicula/ficha/p640882,640882,6.0,6.0,07 de mayo - 2025,2025-05-07
Ash,https://www.palomitacas.com/pelicula/ficha/p931349,931349,6.0,6.0,03 de mayo - 2025,2025-05-03
Alienoid: Regreso al futuro,https://www.palomitacas.com/pelicula/ficha/p626412,626412,,,,
Alienoid,https://www.palomitacas.com/pelicula/ficha/p601796,601796,7.0,7.0,03 de mayo - 2025,2025-05-03
Los pecadores,https://www.palomitacas.com/pelicula/ficha/p1233413,1233413,8.0,8.0,01 de mayo - 2025,2025-05-01
El contable 2,https://www.palomitacas.com/pelicula/ficha/p870028,870028,6.5,6.5,01 de mayo - 2025,2025-06-11
Venom: El último baile,https://www.palomitacas.com/pelicula/ficha/p912649,912649,7.0,7.0,19 de abril - 2025,2025-04-19
Le Mans '66,https://www.palomitacas.com/pelicula/ficha/p359724,359724,7.0,7.0,19 de abril - 2025,2025-04-19
