title,url,tmdb_id,user_rating,site_rating,added_label,checkin_date
Una batalla tras otra,https://www.palomitacas.com/pelicula/ficha/p1054867,1054867,7.5,7.5,03 de enero - 2026,2026-01-02
Esta casa es una ruina,https://www.palomitacas.com/pelicula/ficha/p10466,10466,6.5,6.5,02 de enero - 2026,2026-01-01
Brian y Charles,https://www.palomitacas.com/pelicula/ficha/p913814,913814,,,,
Springsteen: Deliver Me from Nowhere,https://www.palomitacas.com/pelicula/ficha/p1230368,1230368,6.5,6.5,25 de diciembre - 2025,2025-12-26
Una casa llena de dinamita,https://www.palomitacas.com/pelicula/ficha/p1290159,1290159,6.0,6.0,25 de diciembre - 2025,2025-12-28
Sueños de trenes,https://www.palomitacas.com/pelicula/ficha/p1241983,1241983,,,,
V/H/S/Beyond,https://www.palomitacas.com/pelicula/ficha/p1190868,1190868,5.0,5.0,25 de diciembre - 2025,2025-12-25
La cita,https://www.palomitacas.com/pelicula/ficha/p1249213,1249213,4.5,4.5,22 de diciembre - 2025,2025-12-21
Los Cuatro Fantásticos: Primeros pasos,https://www.palomitacas.com/pelicula/ficha/p617126,617126,6.0,6.0,22 de diciembre - 2025,2025-12-19
Eternity,https://www.palomitacas.com/pelicula/ficha/p1259102,1259102,6.5,6.5,17 de diciembre - 2025,2025-12-17
Cualquiera menos tú,https://www.palomitacas.com/pelicula/ficha/p1072790,1072790,5.0,5.0,14 de diciembre - 2025,2025-12-14
El tiempo contigo,https://www.palomitacas.com/pelicula/ficha/p568160,568160,6.5,6.5,14 de diciembre - 2025,2026-01-01
La mesita del comedor,https://www.palomitacas.com/pelicula/ficha/p1056380,1056380,6.0,6.0,13 de diciembre - 2025,2025-12-13
Palmer,https://www.palomitacas.com/pelicula/ficha/p458220,458220,,,,
Suzume,https://www.palomitacas.com/pelicula/ficha/p916224,916224,8.0,8.0,12 de diciembre - 2025,2025-12-13
Memorias de un caracol,https://www.palomitacas.com/pelicula/ficha/p1064486,1064486,,,,
Tesis,https://www.palomitacas.com/pelicula/ficha/p9299,9299,,,,
La piscina,https://www.palomitacas.com/pelicula/ficha/p302,302,6.5,6.5,12 de diciembre - 2025,2025-12-08
La trama fenicia,https://www.palomitacas.com/pelicula/ficha/p1137350,1137350,7.0,7.0,05 de diciembre - 2025,2025-12-05
Amateur,https://www.palomitacas.com/pelicula/ficha/p1087891,1087891,6.5,6.5,01 de diciembre - 2025,2025-11-30
M3GAN 2.0,https://www.palomitacas.com/pelicula/ficha/p1071585,1071585,3.0,3.0,23 de noviembre - 2025,2025-11-22
Weapons,https://www.palomitacas.com/pelicula/ficha/p1078605,1078605,7.5,7.5,17 de noviembre - 2025,2025-11-16
Frankenstein,https://www.palomitacas.com/pelicula/ficha/p1062722,1062722,,,,
Expediente Warren: El último rito,https://www.palomitacas.com/pelicula/ficha/p1038392,1038392,6.0,6.0,30 de octubre - 2025,2025-10-30
Las guerreras k-pop,https://www.palomitacas.com/pelicula/ficha/p803796,803796,7.0,7.0,01 de septiembre - 2025,2025-09-07
Sally: La primera astronauta americana,https://www.palomitacas.com/pelicula/ficha/p1242382,1242382,7.0,7.0,22 de agosto - 2025,2025-08-17
Misión: Imposible - Sentencia final,https://www.palomitacas.com/pelicula/ficha/p575265,575265,7.0,7.0,22 de agosto - 2025,2025-08-23
Superman,https://www.palomitacas.com/pelicula/ficha/p1061474,1061474,6.5,6.5,22 de agosto - 2025,2025-09-14
Fiasco total: El niño del globo,https://www.palomitacas.com/pelicula/ficha/p1477566,1477566,4.5,4.5,17 de agosto - 2025,2025-08-03
Fiasco total: La tragedia del festival Astroworld,https://www.palomitacas.com/pelicula/ficha/p1477453,1477453,7.0,7.0,17 de agosto - 2025,2025-08-16
Equipaje de mano,https://www.palomitacas.com/pelicula/ficha/p1005331,1005331,5.0,5.0,17 de agosto - 2025,2025-08-03
El contable 2,https://www.palomitacas.com/pelicula/ficha/p870028,870028,5.0,5.0,17 de agosto - 2025,2025-08-16
Casino,https://www.palomitacas.com/pelicula/ficha/p524,524,7.5,7.5,12 de agosto - 2025,2025-11-23
Bailarina,https://www.palomitacas.com/pelicula/ficha/p541671,541671,,,,
La acompañante,https://www.palomitacas.com/pelicula/ficha/p1084199,1084199,7.0,7.0,26 de julio - 2025,2025-07-29
Destino final: Lazos de sangre,https://www.palomitacas.com/pelicula/ficha/p574475,574475,6.0,6.0,26 de julio - 2025,2025-10-05
Cómo entrenar a tu dragón,https://www.palomitacas.com/pelicula/ficha/p1087192,1087192,8.0,8.0,26 de julio - 2025,2025-08-31
Predator: Asesino de asesinos,https://www.palomitacas.com/pelicula/ficha/p1376434,1376434,7.0,7.0,26 de julio - 2025,2025-10-12
Lilo y Stitch,https://www.palomitacas.com/pelicula/ficha/p552524,552524,4.0,4.0,24 de julio - 2025,2025-07-24
Perfect Blue,https://www.palomitacas.com/pelicula/ficha/p10494,10494,7.5,7.5,20 de julio - 2025,2025-07-20
Ellas dan el golpe,https://www.palomitacas.com/pelicula/ficha/p11287,11287,7.0,7.0,13 de julio - 2025,2025-07-22
28 años después,https://www.palomitacas.com/pelicula/ficha/p1100988,1100988,7.0,7.0,06 de julio - 2025,2025-08-24
F1 la película,https://www.palomitacas.com/pelicula/ficha/p911430,911430,8.0,8.0,04 de julio - 2025,2025-07-04
Vivir el momento,https://www.palomitacas.com/pelicula/ficha/p1100099,1100099,6.0,6.0,08 de junio - 2025,2025-06-07
The Cove,https://www.palomitacas.com/pelicula/ficha/p23128,23128,7.5,7.5,24 de mayo - 2025,2025-07-21
Una película de Minecraft,https://www.palomitacas.com/pelicula/ficha/p950387,950387,4.5,4.5,18 de mayo - 2025,2025-05-16
The Brutalist,https://www.palomitacas.com/pelicula/ficha/p549509,549509,6.0,6.0,11 de mayo - 2025,2025-05-10
The Apprentice (La historia de Trump),https://www.palomitacas.com/pelicula/ficha/p1182047,1182047,5.5,5.5,04 de mayo - 2025,2025-05-04
Warfare. Tiempo de guerra,https://www.palomitacas.com/pelicula/ficha/p1241436,1241436,5.0,5.0,17 de abril - 2025,2025-07-13
Heretic,https://www.palomitacas.com/pelicula/ficha/p1138194,1138194,6.5,6.5,11 de abril - 2025,2025-04-06
Mickey 17,https://www.palomitacas.com/pelicula/ficha/p696506,696506,6.0,6.0,05 de abril - 2025,2025-04-05
El color de la noche,https://www.palomitacas.com/pelicula/ficha/p2124,2124,5.0,5.0,30 de marzo - 2025,2025-03-30
"Flow, un mundo que salvar",https://www.palomitacas.com/pelicula/ficha/p823219,823219,7.0,7.0,30 de marzo - 2025,2025-03-29
Maniquí,https://www.palomitacas.com/pelicula/ficha/p10019,10019,4.0,4.0,03 de marzo - 2025,2025-03-02
A Real Pain,https://www.palomitacas.com/pelicula/ficha/p1013850,1013850,6.0,6.0,03 de marzo - 2025,2025-07-05
Anora,https://www.palomitacas.com/pelicula/ficha/p1064213,1064213,7.5,7.5,02 de marzo - 2025,2025-03-02
La noche de Halloween,https://www.palomitacas.com/pelicula/ficha/p948,948,,,,
Videodrome,https://www.palomitacas.com/pelicula/ficha/p837,837,6.5,6.5,02 de marzo - 2025,2025-10-04
La cabaña en el bosque,https://www.palomitacas.com/pelicula/ficha/p22970,22970,7.0,7.0,02 de marzo - 2025,2025-03-30
El proyecto de la bruja de Blair,https://www.palomitacas.com/pelicula/ficha/p2667,2667,6.0,6.0,02 de marzo - 2025,2025-05-20
Robot salvaje,https://www.palomitacas.com/pelicula/ficha/p1184918,1184918,7.5,7.5,01 de marzo - 2025,2025-03-01
A Complete Unknown,https://www.palomitacas.com/pelicula/ficha/p661539,661539,,,,
El chico y la garza,https://www.palomitacas.com/pelicula/ficha/p508883,508883,5.5,5.5,23 de febrero - 2025,2025-02-22
Yakuza,https://www.palomitacas.com/pelicula/ficha/p28415,28415,,,,
